CaseID,Manufacturer,Processor Type,Processor Speed (Mhz),Monitor (inches),Type,Memory (MB),Drive Capacity (GB),Price
41,Dell,Intel Pentium,1800,17,Tower,2000,40,1607
42,Gateway,Intel Pentium,1060,12,Laptop,320,20,1600
43,Dell,Intel Pentium,900,14,Laptop,256,10,1169
44,Dell,Intel Pentium,1600,17,Tower,512,20,1417
45,Gateway,Intel Celeron,1300,17,Tower,256,40,1300
46,Apple,PowerPC G3,300,14,Laptop,192,8,999
47,Apple,PowerPC G4,700,15,Desktop,128,40,1292
48,Dell,Intel Pentium,1700,17,Tower,512,40,1966
49,Apple,PowerPC G3,500,13.8,Desktop,128,30,1069
50,Toshiba,Intel Celeron,850,15,Desktop,256,20,789
51,Apple,PowerPC G3,300,12,Laptop,160,32,799
52,Dell,Intel Pentium,1600,17,Desktop,512,20,1417
53,Gateway,Intel Celeron,1300,17,Desktop,256,40,1300
54,Gateway,Intel Celeron,1200,15,Tower,128,20,1000
55,Gateway,Intel Celeron,1300,15,Tower,256,40,1500
56,Sony,Intel Celeron,600,10.4,Laptop,256,10,825
57,Gateway,Intel Pentium,900,14,Laptop,256,10,1150
58,Toshiba,Intel Celeron,900,15,Desktop,128,20,780
59,Compaq,Intel Celeron,1000,15,Desktop,256,20,999
60,Gateway,Intel Pentium,1800,17,Tower,256,40,1800
61,Dell,Intel Pentium,1000,17,Tower,128,20,1055
62,Sony,ADM Athlon,1000,15,Laptop,512,20,1409
63,Gateway,Intel Pentium,1600,15,Desktop,256,40,1550
64,Gateway,Intel Celeron,1300,15,Desktop,256,40,1500
65,Apple,PowerPC G3,266,14,Laptop,192,8,899
66,Sony,Intel Pentium,1000,21,Tower,512,60,2350
67,Compaq,Intel Celeron,800,12,Laptop,256,20,1200
68,Dell,Intel Celeron,900,14,Laptop,256,20,1119
69,Toshiba,Intel Pentium,1100,15,Laptop,512,30,1799
70,Dell,Intel Pentium,1800,17,Desktop,256,40,1337
71,Gateway,Intel Celeron,900,14,Laptop,256,10,1000
72,Fujitsu,Intel Pentium,450,14,Laptop,256,6,1350
73,Gateway,Intel Pentium,1060,15,Laptop,256,20,1450
74,Gateway,Intel Celeron,1100,15,Desktop,128,20,1100
75,Toshiba,Intel Pentium,1800,21,Tower,256,40,1506
76,Sony,Intel Celeron,650,12,Laptop,384,15,959
77,Compaq,Intel Celeron,1400,15,Desktop,128,20,1070
78,Gateway,Intel Pentium,1800,17,Tower,256,80,1950
79,Dell,Intel Pentium,1700,15,Desktop,512,20,799
80,Toshiba,Intel Celeron,850,15,Tower,256,20,789
81,Dell,Intel Pentium,1900,17,Desktop,2000,40,1507
82,Dell,Intel Pentium,1700,17,Desktop,512,40,1857
83,Toshiba,Intel Celeron,1000,15,Tower,256,30,955
84,Gateway,Intel Pentium,1800,17,Desktop,256,40,1800
85,Dell,Intel Pentium,900,12,Laptop,256,10,1134
86,Compaq,Intel Celeron,1700,15,Desktop,256,20,1058
87,Dell,Intel Pentium,1800,17,Desktop,2000,40,1607
88,Dell,Intel Celeron,800,12,Laptop,256,10,1305
89,Dell,Intel Celeron,1100,15,Desktop,256,40,658
90,Dell,Intel Pentium,1800,17,Tower,256,40,1337
91,HP,Intel Pentium,933,15,Desktop,256,20,1145
92,Dell,Intel Pentium,1130,14,Laptop,1024,20,1407
93,Sony,Intel Pentium,1500,17,Tower,256,80,1295
94,Dell,Intel Pentium,900,14,Laptop,256,20,1218
95,Sony,AMD Duron,900,15,Laptop,512,15,999
96,Toshiba,Intel Celeron,1000,15,Desktop,256,30,955
97,Compaq,AMD Duron,900,14,Laptop,384,20,989
98,Compaq,Intel Pentium,1000,15,Desktop,128,30,800
99,Fujitsu,Crusoe,800,10.6,Laptop,256,20,1699
100,Dell,Intel Pentium,1700,17,Desktop,512,40,1966
101,Apple,PowerPC G3,450,13.8,Desktop,64,20,945
102,Gateway,Intel Pentium,1130,15,Laptop,512,30,2100
103,Sony,Intel Pentium,1700,15,Tower,256,80,949
104,Gateway,Intel Pentium,1800,17,Desktop,256,80,1950
105,Gateway,Intel Celeron,1100,15,Tower,128,20,1100
106,Compaq,Intel Pentium,1330,15,Desktop,256,30,950
107,Gateway,Intel Pentium,1600,17,Desktop,128,20,1300
108,Fujitsu,Intel Pentium,500,14,Laptop,192,9,899
109,Apple,PowerPC G3,700,15,Laptop,256,30,3649
110,Fujitsu,Crusoe,800,10.6,Laptop,256,20,1499
111,Apple,PowerPC G3,550,15,Laptop,256,20,1799
112,HP,Intel Pentium,850,15,Desktop,256,30,999
113,Toshiba,Intel Pentium,1800,21,Desktop,256,40,1506
114,Apple,PowerPC G3,400,10,Laptop,192,10,1834
115,Apple,PowerPC G3,500,12,Laptop,128,10,1038
116,Compaq,Intel Pentium,1000,14,Laptop,384,20,1295
117,Compaq,ADM Athlon,1330,15,Desktop,256,30,820
118,Gateway,Intel Pentium,1060,14,Laptop,256,10,1250
119,Toshiba,Intel Pentium,1500,17,Tower,256,40,1329
