['Canon', 459.0, 'Compact', 5.0, 3.6, 4.1, 300.0, 'Compact Flash', 32.0]
['Fujifilm', 180.0, 'Compact', 1.92, 0.0, 2.5, 180.0, 'xD Picture Card', 16.0]
['Fujifilm', 204.0, 'SLR-Like', 3.14, 6.0, 2.5, 400.0, 'xD Picture Card', 16.0]
['Fujifilm', 199.0, 'Ultra Compact', 1.92, 0.0, 2.5, 200.0, 'SmartMedia', 16.0]
['Kodak', 324.0, 'Compact', 4.0, 4.0, 4.0, 270.0, 'Internal Memory', 16.0]
['Kodak', 300.0, 'Compact', 4.9, 3.0, 5.0, 240.0, 'Internal Memory', 16.0]
['Kodak', 201.0, 'Compact', 3.1, 3.0, 3.3, 225.0, 'Internal Memory', 16.0]
['Kodak', 462.0, 'Compact', 6.2, 3.0, 3.0, 270.0, 'Internal Memory', 16.0]
['Kodak', 246.0, 'Compact', 4.0, 3.0, 3.0, 198.0, 'Internal Memory', 16.0]
['Kodak', 124.0, 'Compact', 3.2, 0.0, 0.0, 162.0, 'Internal Memory', 16.0]
['Kodak', 150.0, 'Compact', 2.0, 2.1, 2.0, 195.0, 'Internal Memory', 16.0]
['Kodak', 352.0, 'Compact', 5.0, 2.8, 3.6, 220.0, 'Internal Memory', 16.0]
['Kodak', 306.0, 'Compact', 4.0, 2.8, 3.6, 220.0, 'Internal Memory', 16.0]
['Kodak', 441.0, 'SLR-Like', 4.0, 10.0, 3.0, 380.0, 'Internal Memory', 16.0]
['Kodak', 262.0, 'Compact', 5.0, 3.0, 3.3, 260.0, 'Internal Memory', 16.0]
['Kodak', 130.0, 'Compact', 2.0, 0.0, 2.0, 195.0, 'Internal Memory', 16.0]
['Kodak', 178.0, 'Compact', 3.1, 3.0, 3.3, 225.0, 'Internal Memory', 16.0]
['Kodak', 124.0, 'Compact', 2.0, 3.0, 3.3, 225.0, 'Internal Memory', 16.0]
['Kodak', 199.0, 'Compact', 4.0, 3.0, 3.0, 260.0, 'Internal Memory', 16.0]
['Kodak', 4499.0, 'SLR', 13.7, 10.0, 0.0, 1000.0, 'Compact Flash', 0.0]
['Kodak', 4932.0, 'SLR', 13.5, 10.0, 0.0, 1000.0, 'Compact Flash', 0.0]
['Kodak', 200.0, 'Compact', 3.2, 2.0, 2.0, 250.0, 'Internal Memory', 16.0]
['Kodak', 154.0, 'Compact', 2.0, 3.0, 2.0, 280.0, 'Internal Memory', 16.0]
['Kodak', 179.0, 'Compact', 3.1, 3.0, 3.3, 260.0, 'Internal Memory', 16.0]
['Kodak', 309.0, 'Compact', 4.0, 4.0, 3.8, 270.0, 'Internal Memory', 16.0]
['Konica Minolta', 507.0, 'Ultra Compact', 5.9, 3.0, 3.0, 235.0, 'Internal Memory', 16.0]
['Konica Minolta', 915.0, 'SLR-Like', 8.0, 7.1, 2.0, 639.0, 'Compact Flash', 16.0]
['Konica Minolta', 417.0, 'SLR-Like', 3.87, 10.0, 4.0, 411.0, 'Compact Flash', 16.0]
['Konica Minolta', 260.0, 'Ultra Compact', 3.14, 3.1, 4.0, 155.0, 'Compact Flash', 16.0]
['Konica Minolta', 449.0, 'Ultra Compact', 3.87, 3.0, 2.0, 210.0, 'Compact Flash', 16.0]
['Konica Minolta', 765.0, 'SLR-Like', 4.92, 7.1, 2.0, 639.0, 'Compact Flash', 16.0]
['Konica Minolta', 349.0, 'Compact', 3.14, 3.0, 4.0, 195.0, 'Compact Flash', 16.0]
['Konica Minolta', 499.0, 'SLR-Like', 3.2, 10.0, 4.0, 411.0, 'Compact Flash', 16.0]
['Konica Minolta', 599.0, 'Ultra Compact', 5.0, 3.0, 3.0, 235.0, 'Internal Memory', 16.0]
['Konica Minolta', 309.0, 'Ultra Compact', 1.92, 3.0, 4.0, 165.0, 'Internal Memory', 8.0]
['Konica Minolta', 379.0, 'Ultra Compact', 5.0, 3.0, 3.0, 235.0, 'Internal Memory', 16.0]
['Konica Minolta', 330.0, 'Ultra Compact', 3.87, 3.0, 4.0, 220.0, 'Internal Memory', 16.0]
['Konica Minolta', 169.0, 'Compact', 1.92, 3.0, 3.0, 280.0, 'Internal Memory', 8.0]
['Konica Minolta', 239.0, 'Ultra Compact', 3.14, 3.0, 4.0, 155.0, 'Internal Memory', 16.0]
['Konica Minolta', 259.0, 'Compact', 3.87, 4.0, 2.0, 423.0, 'Internal Memory', 16.0]
['Konica Minolta', 425.0, 'Ultra Compact', 4.92, 3.0, 4.0, 220.0, 'Internal Memory', 32.0]
['Konica Minolta', 329.0, 'Ultra Compact', 5.0, 3.0, 4.0, 235.0, 'Internal Memory', 16.0]
['Konica Minolta', 441.0, 'Ultra Compact', 3.14, 3.0, 2.0, 155.0, 'Internal Memory', 16.0]
['Konica Minolta', 508.0, 'SLR-Like', 4.92, 7.1, 2.0, 650.0, 'Internal Memory', 16.0]
['Konica Minolta', 761.0, 'SLR-Like', 4.92, 7.1, 2.0, 608.0, 'Internal Memory', 16.0]
['Konica Minolta', 263.0, 'Ultra Compact', 1.92, 3.0, 2.0, 155.0, 'Internal Memory', 8.0]
['Konica Minolta', 500.0, 'Compact', 3.87, 4.0, 2.0, 423.0, 'Compact Flash', 16.0]
['Casio', 357.0, 'Ultra Compact', 4.0, 3.0, 4.0, 150.0, 'Internal Memory', 16.0]
['Casio', 299.0, 'Ultra Compact', 3.14, 3.0, 4.0, 150.0, 'Internal Memory', 16.0]
['Casio', 564.0, 'Compact', 5.9, 4.0, 4.0, 275.0, 'Internal Memory', 16.0]
['Casio', 274.0, 'Compact', 3.94, 3.0, 4.0, 198.0, 'Internal Memory', 16.0]
['Casio', 322.0, 'Compact', 4.92, 3.0, 4.0, 210.0, 'Internal Memory', 16.0]
['Casio', 232.0, 'Ultra Compact', 1.92, 0.0, 4.0, 100.0, 'Internal Memory', 16.0]
['Casio', 349.0, 'Ultra Compact', 4.0, 3.0, 4.0, 170.0, 'Internal Memory', 16.0]
['Casio', 249.0, 'Compact', 4.0, 3.0, 3.2, 210.0, 'Internal Memory', 16.0]
['Casio', 338.0, 'Ultra Compact', 3.14, 0.0, 4.0, 110.0, 'Internal Memory', 16.0]
['Casio', 286.0, 'Ultra Compact', 3.14, 3.0, 2.0, 170.0, 'Internal Memory', 16.0]
['Casio', 485.0, 'Compact', 4.92, 3.0, 3.2, 420.0, 'Compact Flash', 16.0]
['Casio', 228.0, 'Ultra Compact', 4.0, 3.0, 3.2, 240.0, 'Internal Memory', 16.0]
['Casio', 199.0, 'Ultra Compact', 3.14, 3.0, 3.2, 240.0, 'Internal Memory', 16.0]
['Casio', 300.0, 'Compact', 1.92, 0.0, 2.0, 320.0, 'Compact Flash', 8.0]
['Casio', 265.0, 'Compact', 1.2, 0.0, 2.0, 320.0, 'Compact Flash', 8.0]
['Casio', 449.0, 'Compact', 3.7, 3.0, 3.2, 420.0, 'Compact Flash', 16.0]
['Casio', 900.0, 'Compact', 3.14, 3.0, 4.0, 360.0, 'Compact Flash', 16.0]
['Ricoh', 415.0, 'Compact', 3.14, 3.6, 3.4, 215.0, 'Internal Memory', 16.0]
['Ricoh', 384.0, 'Compact', 3.14, 3.0, 3.4, 230.0, 'Internal Memory', 16.0]
['Ricoh', 700.0, 'Compact Swivel', 3.9, 3.0, 3.6, 340.0, 'SmartMedia', 64.0]
['Ricoh', 900.0, 'Compact Swivel', 3.14, 3.0, 3.2, 320.0, 'Compact Flash', 64.0]
['Ricoh', 1200.0, 'Compact Swivel', 3.14, 3.0, 3.2, 450.0, 'Compact Flash', 64.0]
['Ricoh', 1000.0, 'Compact', 2.19, 3.0, 2.5, 500.0, 'Internal Memory', 16.0]
['Pentax', 320.0, 'Compact', 3.9, 2.8, 4.0, 200.0, 'Internal Memory', 16.0]
['Pentax', 264.0, 'Ultra Compact', 4.0, 3.0, 2.6, 175.0, 'Internal Memory', 16.0]
['Pentax', 341.0, 'Ultra Compact', 4.0, 3.0, 4.0, 120.0, 'Internal Memory', 16.0]
['Pentax', 177.0, 'Compact', 3.2, 3.0, 4.0, 180.0, 'Internal Memory', 16.0]
['Pentax', 352.0, 'Ultra Compact', 4.0, 3.0, 4.0, 115.0, 'Internal Memory', 16.0]
['Pentax', 294.0, 'Compact', 3.14, 2.8, 4.0, 208.0, 'Internal Memory', 16.0]
['Pentax', 471.0, 'Compact', 5.0, 4.9, 4.0, 250.0, 'Internal Memory', 16.0]
['Pentax', 1389.0, 'SLR', 6.1, 10.0, 0.0, 650.0, 'Compact Flash', 0.0]
['Pentax', 447.0, 'Compact', 5.0, 4.9, 4.0, 250.0, 'Compact Flash', 16.0]
['Pentax', 229.0, 'Ultra Compact', 3.14, 3.0, 2.7, 230.0, 'Compact Flash', 16.0]
['Pentax', 359.0, 'Compact', 3.9, 4.9, 4.0, 250.0, 'Compact Flash', 16.0]
['Pentax', 291.0, 'Ultra Compact', 3.14, 3.0, 2.0, 115.0, 'Compact Flash', 16.0]
['Hewlett-Packard', 321.0, 'Compact', 5.1, 3.0, 8.0, 205.0, 'Compact Flash', 32.0]
['Hewlett-Packard', 130.0, 'Compact', 3.14, 0.0, 5.0, 190.0, 'Internal Memory', 16.0]
['Hewlett-Packard', 432.0, 'Compact', 5.1, 8.1, 7.0, 500.0, 'Internal Memory', 32.0]
['Hewlett-Packard', 128.0, 'Compact', 2.0, 3.0, 4.0, 240.0, 'Internal Memory', 16.0]
['Hewlett-Packard', 337.0, 'Compact', 3.89, 8.1, 7.0, 489.0, 'Internal Memory', 32.0]
['Hewlett-Packard', 900.0, 'SLR', 1.92, 3.2, 2.0, 630.0, 'Compact Flash', 16.0]
['Hewlett-Packard', 600.0, 'Compact', 1.92, 3.2, 2.0, 390.0, 'Compact Flash', 16.0]
['Hewlett-Packard', 117.0, 'Compact', 2.0, 0.0, 4.0, 240.0, 'Internal Memory', 16.0]
['Contax', 824.0, 'Compact', 4.92, 3.0, 4.0, 260.0, 'Internal Memory', 32.0]
['Toshiba', 799.0, 'SLR-Like', 1.92, 3.0, 2.0, 350.0, 'SmartMedia', 8.0]
['Toshiba', 228.0, 'Compact', 3.84, 2.9, 2.2, 288.0, 'Internal Memory', 16.0]
['Toshiba', 219.0, 'Ultra Compact', 3.14, 3.0, 2.0, 205.0, 'Internal Memory', 8.0]
['Toshiba', 144.0, 'Ultra Compact', 1.92, 0.0, 4.0, 180.0, 'Internal Memory', 8.0]
['Kyocera', 444.0, 'Compact', 4.0, 10.0, 6.0, 340.0, 'Internal Memory', 16.0]
['Kyocera', 299.0, 'Ultra Compact', 3.14, 3.3, 2.0, 175.0, 'Internal Memory', 16.0]
['Kyocera', 452.0, 'Ultra Compact', 5.0, 3.0, 4.0, 205.0, 'Internal Memory', 16.0]
['Kyocera', 277.0, 'Ultra Compact', 4.0, 3.0, 4.0, 220.0, 'Internal Memory', 16.0]
['Kyocera', 309.0, 'Ultra Compact', 5.0, 3.0, 4.0, 205.0, 'Internal Memory', 16.0]
['Samsung', 322.0, 'Compact', 3.87, 3.0, 4.0, 210.0, 'Internal Memory', 8.0]
['Samsung', 550.0, 'Compact', 3.14, 3.0, 2.0, 320.0, 'Compact Flash', 16.0]
{'Weight': 300.0, 'Format': 'Compact', 'StorageType': 'Compact Flash', 'Price': 459.0, 'OpticalZoom': 3.6, 'StorageIncluded': 32.0, 'DigitalZoom': 4.1, 'Resolution': 5.0, 'Manufacturer': 'Canon'}
['Canon', 459.0, 'Compact', 5.0, 3.6, 4.1, 300.0, 'Compact Flash', 32.0]
['Canon', 879.0, 'SLR-Like', 8.0, 7.1, 3.2, 640.0, 'Compact Flash', 64.0]
['Canon', 871.0, 'SLR', 6.29, 10.0, 0.0, 645.0, 'Compact Flash', 0.0]
['Canon', 156.0, 'Compact', 3.14, 0.0, 5.1, 205.0, 'Compact Flash', 0.0]
['Canon', 443.0, 'Ultra Compact', 5.0, 3.0, 4.1, 215.0, 'Compact Flash', 32.0]
['Canon', 238.0, 'Compact', 3.14, 3.0, 3.2, 315.0, 'Compact Flash', 32.0]
['Canon', 277.0, 'Ultra Compact', 3.2, 2.0, 3.2, 195.0, 'Compact Flash', 32.0]
['Canon', 533.0, 'Compact', 5.0, 4.0, 3.6, 490.0, 'Compact Flash', 32.0]
['Canon', 163.0, 'Compact', 3.14, 0.0, 5.1, 225.0, 'Compact Flash', 16.0]
['Canon', 457.0, 'Compact', 5.0, 3.0, 4.1, 323.0, 'Compact Flash', 32.0]
['Canon', 7439.0, 'SLR', 11.0, 10.0, 0.0, 1585.0, 'Compact Flash', 0.0]
['Canon', 800.0, 'Compact', 3.9, 4.0, 3.6, 490.0, 'Compact Flash', 32.0]
['Canon', 386.0, 'Compact', 3.9, 3.0, 3.6, 323.0, 'Compact Flash', 32.0]
['Canon', 399.0, 'Ultra Compact', 3.14, 2.0, 3.2, 250.0, 'Compact Flash', 16.0]
['Canon', 300.0, 'Compact', 1.92, 0.0, 4.0, 225.0, 'Compact Flash', 8.0]
['Canon', 375.0, 'Ultra Compact', 1.92, 3.0, 2.5, 274.0, 'Compact Flash', 8.0]
['Canon', 200.0, 'Compact', 1.2, 0.0, 3.2, 225.0, 'Compact Flash', 8.0]
['Canon', 385.0, 'Compact', 1.92, 3.0, 2.5, 350.0, 'Compact Flash', 8.0]
['Canon', 499.0, 'Compact', 3.14, 3.0, 3.2, 323.0, 'Compact Flash', 16.0]
['Canon', 800.0, 'Compact', 3.9, 3.0, 3.6, 323.0, 'Compact Flash', 16.0]
['Canon', 400.0, 'Compact', 1.2, 3.0, 2.0, 375.0, 'Compact Flash', 8.0]
['Canon', 500.0, 'Compact', 1.92, 3.0, 2.5, 375.0, 'Compact Flash', 8.0]
['Canon', 650.0, 'Ultra Compact', 1.92, 2.0, 4.0, 250.0, 'Compact Flash', 8.0]
['Sony', 447.0, 'Compact Swivel', 5.0, 3.0, 4.0, 202.0, 'Memory Stick', 32.0]
['Sony', 550.0, 'Ultra Compact', 5.0, 3.0, 4.0, 186.0, 'Memory Stick', 32.0]
['Sony', 283.0, 'Compact', 3.9, 3.0, 3.6, 243.0, 'Memory Stick', 16.0]
['Sony', 202.0, 'Compact', 3.9, 0.0, 3.6, 180.0, 'Memory Stick', 16.0]
['Sony', 376.0, 'Ultra Compact', 5.0, 3.0, 4.0, 210.0, 'Memory Stick', 32.0]
['Sony', 383.0, 'Ultra Compact', 5.0, 3.0, 4.0, 230.0, 'Memory Stick', 32.0]
['Sony', 336.0, 'Compact', 5.0, 3.0, 4.0, 236.0, 'Memory Stick', 32.0]
['Sony', 454.0, 'Ultra Compact', 5.0, 3.0, 4.0, 200.0, 'Memory Stick', 32.0]
['Sony', 193.0, 'Ultra Compact', 2.0, 0.0, 0.0, 130.0, 'Memory Stick', 8.0]
['Sony', 229.0, 'Ultra Compact', 2.0, 0.0, 0.0, 132.0, 'Memory Stick', 8.0]
['Sony', 875.0, 'Compact Swivel', 8.0, 7.1, 2.0, 906.0, 'Memory Stick', 0.0]
['Sony', 183.0, 'Ultra Compact', 2.0, 0.0, 0.0, 130.0, 'Memory Stick', 8.0]
['Sony', 249.0, 'Ultra Compact', 2.0, 0.0, 0.0, 200.0, 'Memory Stick', 8.0]
['Sony', 364.0, 'Ultra Compact', 5.0, 3.0, 4.0, 206.0, 'Memory Stick', 32.0]
['Sony', 237.0, 'Compact', 3.14, 3.0, 3.2, 259.0, 'Memory Stick', 16.0]
['Sony', 543.0, 'SLR-Like', 5.0, 3.0, 4.0, 606.0, 'CD-R', 2.0]
['Sony', 394.0, 'Compact', 3.14, 3.0, 3.2, 522.0, 'CD-R', 2.0]
['Sony', 455.0, 'Ultra Compact', 5.0, 4.0, 4.0, 298.0, 'Memory Stick', 32.0]
['Sony', 184.0, 'Ultra Compact', 2.0, 0.0, 0.0, 118.0, 'Memory Stick', 8.0]
['Sony', 617.0, 'Compact Swivel', 4.92, 5.0, 2.0, 659.0, 'Memory Stick', 32.0]
['Sony', 304.0, 'Compact', 5.0, 3.0, 4.0, 259.0, 'Memory Stick', 16.0]
['Olympus', 151.0, 'Compact', 3.14, 0.0, 2.5, 210.0, 'xD Picture Card', 16.0]
['Olympus', 416.0, 'Compact', 5.9, 3.0, 4.0, 230.0, 'xD Picture Card', 32.0]
