CaseId,Manufacturer,Price ($),Format,Resolution (M Pixels),Optical Zoom (X),Digital Zoom (X),Weight (grams),Storage Type,Storage Included (MB)
CASE164,Casio,286,Ultra Compact,3.14,3,2,170,Internal Memory,16
CASE165,Casio,485,Compact,4.92,3,3.2,420,Compact Flash,16
CASE166,Casio,228,Ultra Compact,4,3,3.2,240,Internal Memory,16
CASE167,Casio,199,Ultra Compact,3.14,3,3.2,240,Internal Memory,16
CASE168,Casio,300,Compact,1.92,0,2,320,Compact Flash,8
CASE169,Casio,265,Compact,1.2,0,2,320,Compact Flash,8
CASE170,Casio,449,Compact,3.7,3,3.2,420,Compact Flash,16
CASE171,Casio,900,Compact,3.14,3,4,360,Compact Flash,16
CASE172,Ricoh,415,Compact,3.14,3.6,3.4,215,Internal Memory,16
CASE173,Ricoh,384,Compact,3.14,3,3.4,230,Internal Memory,16
CASE174,Ricoh,700,Compact Swivel,3.9,3,3.6,340,SmartMedia,64
CASE175,Ricoh,900,Compact Swivel,3.14,3,3.2,320,Compact Flash,64
CASE176,Ricoh,1200,Compact Swivel,3.14,3,3.2,450,Compact Flash,64
CASE177,Ricoh,1000,Compact,2.19,3,2.5,500,Internal Memory,16
CASE178,Pentax,320,Compact,3.9,2.8,4,200,Internal Memory,16
CASE179,Pentax,264,Ultra Compact,4,3,2.6,175,Internal Memory,16
CASE180,Pentax,341,Ultra Compact,4,3,4,120,Internal Memory,16
CASE181,Pentax,177,Compact,3.2,3,4,180,Internal Memory,16
CASE182,Pentax,352,Ultra Compact,4,3,4,115,Internal Memory,16
CASE183,Pentax,294,Compact,3.14,2.8,4,208,Internal Memory,16
CASE184,Pentax,471,Compact,5,4.9,4,250,Internal Memory,16
CASE185,Pentax,1389,SLR,6.1,10,0,650,Compact Flash,0
CASE186,Pentax,447,Compact,5,4.9,4,250,Compact Flash,16
CASE187,Pentax,229,Ultra Compact,3.14,3,2.7,230,Compact Flash,16
CASE188,Pentax,359,Compact,3.9,4.9,4,250,Compact Flash,16
CASE189,Pentax,291,Ultra Compact,3.14,3,2,115,Compact Flash,16
CASE190,Hewlett-Packard,321,Compact,5.1,3,8,205,Compact Flash,32
CASE191,Hewlett-Packard,130,Compact,3.14,0,5,190,Internal Memory,16
CASE192,Hewlett-Packard,432,Compact,5.1,8.1,7,500,Internal Memory,32
CASE193,Hewlett-Packard,128,Compact,2,3,4,240,Internal Memory,16
CASE194,Hewlett-Packard,337,Compact,3.89,8.1,7,489,Internal Memory,32
CASE195,Hewlett-Packard,900,SLR,1.92,3.2,2,630,Compact Flash,16
CASE196,Hewlett-Packard,600,Compact,1.92,3.2,2,390,Compact Flash,16
CASE197,Hewlett-Packard,117,Compact,2,0,4,240,Internal Memory,16
CASE198,Contax,824,Compact,4.92,3,4,260,Internal Memory,32
CASE199,Toshiba,799,SLR-Like,1.92,3,2,350,SmartMedia,8
CASE200,Toshiba,228,Compact,3.84,2.9,2.2,288,Internal Memory,16
CASE201,Toshiba,219,Ultra Compact,3.14,3,2,205,Internal Memory,8
CASE202,Toshiba,144,Ultra Compact,1.92,0,4,180,Internal Memory,8
CASE203,Kyocera,444,Compact,4,10,6,340,Internal Memory,16
CASE204,Kyocera,299,Ultra Compact,3.14,3.3,2,175,Internal Memory,16
CASE205,Kyocera,452,Ultra Compact,5,3,4,205,Internal Memory,16
CASE206,Kyocera,277,Ultra Compact,4,3,4,220,Internal Memory,16
CASE207,Kyocera,309,Ultra Compact,5,3,4,205,Internal Memory,16
CASE208,Samsung,322,Compact,3.87,3,4,210,Internal Memory,8
CASE209,Samsung,550,Compact,3.14,3,2,320,Compact Flash,16
