Car Code,Manufacturer,Body,Price,Miles,Power,Speed,CCM,ZIP
63,bmw,station_wagon,19199,132869,193,213,2800,8
64,audi,sedan,48999,11698,110,173,1900,4
65,mercedes-benz,station_wagon,88899,14055,278,252,4300,6
66,mercedes-benz,station_wagon,11099,192030,170,213,2400,2
67,bmw,sedan,55999,4262,193,213,2800,7
68,bmw,coupe,40099,13756,115,183,1800,2
69,vw,fastback,26499,33514,115,183,1800,3
70,bmw,coupe,55699,57635,320,241,3500,0
71,bmw,sedan,30899,45092,115,183,1800,8
72,bmw,fastback,37099,29442,170,197,2300,6
73,bmw,station_wagon,39799,51254,170,197,2300,0
74,bmw,fastback,26599,48849,102,183,1600,9
75,mercedes-benz,station_wagon,37299,27896,95,187,2200,1
76,bmw,coupe,41899,39044,193,213,2800,5
77,bmw,sedan,55199,17820,193,213,2800,6
78,bmw,sedan,36999,106825,320,241,3500,8
79,vw,fastback,11899,102731,64,183,1800,1
80,mercedes-benz,sedan,55699,8845,197,213,2800,5
81,bmw,roadster,22799,94107,140,183,1900,3
82,mercedes-benz,sedan,23299,102915,95,187,2200,7
83,audi,sedan,32199,18290,125,183,1800,9
84,vw,station_wagon,25199,52571,125,183,1900,7
85,bmw,roadster,35999,26897,115,183,1800,3
86,bmw,sedan,24599,108838,170,197,2300,5
87,audi,station_wagon,23699,62990,101,183,1600,4
88,mercedes-benz,station_wagon,33999,15473,95,187,2200,3
89,bmw,station_wagon,25199,106134,170,197,2300,1
90,mercedes-benz,station_wagon,66999,48103,278,252,4300,9
91,vw,fastback,26399,11367,90,183,1800,1
92,mercedes-benz,station_wagon,32799,62135,150,203,2500,7
93,bmw,sedan,21099,103768,115,203,2500,2
94,vw,fastback,18499,35110,75,183,1800,1
95,vw,fastback,10699,102196,60,183,1800,7
96,vw,station_wagon,23899,38567,110,183,1800,5
97,audi,sedan,38199,20668,110,173,1900,4
98,mercedes-benz,sedan,58499,18146,176,224,3000,3
99,vw,station_wagon,30399,9911,110,183,1800,9
100,vw,station_wagon,28599,59802,190,183,1800,1
101,vw,station_wagon,13799,104732,110,183,1800,6
102,mercedes-benz,sedan,56199,19033,204,213,2800,2
103,bmw,sedan,47699,23479,193,213,2800,1
104,bmw,convertible,12599,182884,193,213,2800,5
105,vw,station_wagon,25499,11090,90,183,1800,1
106,audi,station_wagon,24699,43858,101,183,1600,8
107,mercedes-benz,station_wagon,38799,30452,136,183,2000,3
108,audi,sedan,31099,42535,110,173,1900,3
109,vw,convertible,10399,119033,75,183,1800,3
110,vw,fastback,21799,35196,90,183,1800,7
111,bmw,station_wagon,88599,7599,285,252,4000,3
112,mercedes-benz,station_wagon,24999,98939,136,183,2000,9
113,bmw,sedan,47999,2798,150,241,3200,7
114,audi,station_wagon,41499,6962,90,173,1900,4
115,mercedes-benz,sedan,11599,168219,95,187,2200,4
116,vw,fastback,22199,14174,60,183,1800,4
117,vw,station_wagon,12399,97907,64,183,1800,7
118,vw,station_wagon,13499,91379,100,183,1800,1
119,bmw,sedan,19699,118883,170,197,2300,1
120,mercedes-benz,sedan,55999,10250,130,224,2900,9
121,bmw,sedan,20599,130378,170,197,2300,1
122,bmw,roadster,82699,11479,320,241,3200,4
123,vw,station_wagon,23399,21629,64,183,1800,9
124,bmw,sedan,28599,90795,170,197,2300,6
125,bmw,coupe,26499,93950,193,213,2800,2
126,bmw,station_wagon,56099,2100,193,213,2800,3
127,mercedes-benz,sedan,51799,7185,170,213,2400,2
128,audi,sedan,49699,6889,193,213,2800,7
129,bmw,coupe,37899,50415,193,213,2800,5
130,mercedes-benz,station_wagon,61699,58002,278,252,4300,5
131,bmw,sedan,33299,70747,142,203,2500,2
132,vw,convertible,19699,69137,115,183,1800,2
133,audi,station_wagon,15199,116143,101,183,1600,4
134,bmw,sedan,34299,60893,150,183,2000,2
135,bmw,station_wagon,46299,46073,193,213,2800,8
136,vw,convertible,13699,85505,75,183,1800,1
137,vw,fastback,11899,89053,60,183,1800,0
138,mercedes-benz,sedan,56099,22737,204,213,2800,6
139,bmw,sedan,51699,72996,285,252,4000,4
140,mercedes-benz,station_wagon,53699,47764,224,241,3200,3
141,mercedes-benz,sedan,29799,99078,176,224,3000,3
142,vw,station_wagon,14799,76755,64,183,1800,8
143,audi,station_wagon,10899,155998,101,183,1600,3
144,mercedes-benz,station_wagon,44699,50275,204,213,2800,2
145,mercedes-benz,sedan,43599,16373,136,183,2000,2
146,vw,sedan,13599,129801,90,183,1900,1
147,vw,fastback,16499,50194,60,183,1800,3
148,vw,fastback,23899,38652,110,183,1800,6
149,bmw,fastback,51099,4296,170,197,2300,2
150,vw,fastback,27999,16766,110,183,1800,2
151,vw,fastback,10899,133085,110,183,1800,3
152,mercedes-benz,sedan,52399,16339,197,213,2800,4
153,bmw,coupe,43899,15741,150,241,3200,6
154,vw,fastback,11699,100542,75,183,1800,3
155,vw,sedan,12299,141859,90,183,1900,8
156,vw,fastback,23099,22215,115,183,1800,5
157,audi,sedan,32799,30656,125,183,1800,7
158,bmw,sedan,38599,30929,115,203,2500,0
159,bmw,coupe,23299,64899,102,183,1600,4
160,audi,sedan,20399,105446,110,173,1900,5
161,audi,sedan,47299,24463,165,213,2400,1
162,bmw,station_wagon,52999,63616,320,241,3500,2
163,vw,fastback,21499,51403,110,183,1800,4
164,audi,sedan,42999,31774,193,213,2800,9
165,vw,station_wagon,19599,31763,75,183,1800,4
166,audi,sedan,25199,79617,110,173,1900,6
167,mercedes-benz,station_wagon,38099,43998,170,213,2400,6
168,vw,station_wagon,20599,34058,90,183,1800,9
169,mercedes-benz,sedan,92399,7579,278,252,4300,8
170,vw,station_wagon,14899,62049,60,183,1800,9
171,vw,sedan,24599,64113,110,183,1900,5
172,audi,sedan,36899,45540,110,173,1900,7
173,mercedes-benz,sedan,29299,51534,122,183,1800,1
174,bmw,coupe,19999,127850,193,213,2800,5
175,bmw,sedan,17499,130639,142,203,2500,8
176,vw,station_wagon,28899,22951,115,183,1800,9
177,bmw,station_wagon,26399,50043,102,183,1600,8
178,bmw,roadster,27099,97396,191,213,2800,2
179,audi,sedan,35999,34679,150,183,1800,4
180,vw,station_wagon,14699,72794,64,183,1800,1
181,bmw,station_wagon,46699,3233,150,241,3200,4
182,mercedes-benz,station_wagon,35699,51735,170,213,2400,9
183,bmw,sedan,36699,52910,150,183,2000,2
184,bmw,fastback,22299,103836,170,197,2300,0
185,bmw,station_wagon,34999,60484,193,213,2800,5
186,vw,station_wagon,12099,87273,60,183,1800,8
187,vw,station_wagon,25999,2922,64,183,1800,5
188,audi,sedan,35799,10865,101,183,1600,5
189,bmw,station_wagon,47999,28663,170,197,2300,8
190,bmw,sedan,35099,66469,170,197,2300,2
191,mercedes-benz,station_wagon,39899,38566,95,187,2200,4
192,bmw,roadster,39599,27984,140,183,1900,3
193,mercedes-benz,sedan,44299,9388,136,183,2000,5
194,bmw,coupe,30699,22901,115,183,1800,4
195,audi,sedan,12999,145863,125,183,1800,5
196,audi,sedan,29599,76575,193,213,2800,3
197,vw,station_wagon,28599,46016,110,183,1900,3
198,vw,sedan,37899,12417,110,183,1900,6
199,mercedes-benz,sedan,26799,131055,224,241,3200,8
200,bmw,coupe,40499,32205,170,197,2300,3
201,vw,station_wagon,25899,13670,90,183,1800,4
202,vw,convertible,23899,23411,100,183,1800,2
203,mercedes-benz,station_wagon,30099,76802,192,197,2300,2
204,bmw,sedan,44199,1621,115,183,1800,2
205,vw,station_wagon,24999,37621,115,183,1800,8
206,bmw,roadster,49699,9904,191,213,2800,4
207,mercedes-benz,station_wagon,31599,138142,278,252,4300,2
208,mercedes-benz,sedan,33799,62888,136,183,2000,3
209,audi,sedan,19899,105463,150,183,1800,2
210,bmw,roadster,24499,109469,191,213,2800,7
211,audi,sedan,17199,123053,150,183,1800,6
212,vw,convertible,21599,40607,115,183,1800,7
213,mercedes-benz,station_wagon,48099,15999,95,187,2200,3
214,mercedes-benz,station_wagon,40899,45996,197,213,2800,1
215,vw,station_wagon,19899,52929,90,183,1800,8
216,bmw,station_wagon,26799,111519,193,213,2800,6
217,bmw,roadster,20599,130101,191,213,2800,2
218,bmw,station_wagon,26199,82389,142,203,2500,6
219,mercedes-benz,sedan,37899,23671,95,187,2200,6
220,bmw,roadster,37999,56645,191,213,2800,1
221,bmw,sedan,73299,24711,320,241,3500,2
222,vw,sedan,27099,33028,90,183,1900,3
223,audi,sedan,30899,50277,150,183,1800,4
224,vw,convertible,8399,164341,110,183,1800,1
225,vw,fastback,12699,81300,60,183,1800,8
226,bmw,coupe,22799,81641,115,183,1800,8
227,vw,convertible,19699,42029,75,183,1800,7
228,mercedes-benz,sedan,19799,194601,278,252,4300,6
229,audi,station_wagon,23499,75143,90,173,1900,7
230,mercedes-benz,sedan,52799,9074,136,183,2000,8
231,bmw,station_wagon,24699,84426,115,203,2500,7
232,bmw,sedan,20299,95743,115,183,1800,2
233,bmw,coupe,28999,82996,193,213,2800,2
234,bmw,sedan,76899,16308,285,252,4000,5
235,mercedes-benz,station_wagon,41799,21518,136,183,2000,4
236,vw,station_wagon,21199,16113,64,183,1800,0
237,mercedes-benz,station_wagon,25999,90060,95,187,2200,1
238,audi,sedan,28699,51464,125,183,1800,3
239,audi,sedan,26099,109377,193,213,2800,7
240,bmw,roadster,64599,41178,320,241,3200,2
241,vw,fastback,22299,40559,110,183,1800,1
242,bmw,sedan,51499,67059,320,241,3500,8
243,bmw,sedan,79999,1752,235,183,3500,1
244,audi,sedan,31699,45204,110,173,1900,6
245,mercedes-benz,sedan,19299,125775,95,187,2200,4
246,vw,sedan,11599,148905,90,183,1900,9
247,mercedes-benz,station_wagon,31799,70054,136,183,2000,0
248,bmw,station_wagon,17399,142652,150,183,2000,4
249,bmw,station_wagon,31399,60669,142,203,2500,1
250,vw,station_wagon,41099,5285,150,183,1900,2
251,bmw,station_wagon,22999,66172,102,183,1600,8
252,mercedes-benz,sedan,38299,21881,136,183,2000,6
253,vw,station_wagon,29799,39336,150,183,1900,9
254,vw,station_wagon,16899,60470,75,183,1800,2
255,bmw,sedan,40199,25693,170,197,2300,5
256,mercedes-benz,roadster,37399,60503,192,197,2300,1
257,mercedes-benz,sedan,36899,52329,192,197,2300,4
258,bmw,coupe,44399,14314,170,197,2300,1
259,bmw,sedan,35499,41079,150,241,3200,4
260,vw,station_wagon,15599,82294,90,183,1800,2
261,vw,sedan,10999,142443,100,183,1900,6
262,bmw,coupe,16399,133514,150,241,3200,6
263,bmw,sedan,36499,55671,193,213,2800,1
264,bmw,sedan,16499,132948,115,203,2500,8
265,mercedes-benz,sedan,22699,131553,176,224,3000,9
266,bmw,convertible,17899,110616,115,183,1800,2
267,bmw,sedan,41799,21365,150,241,3200,0
268,audi,sedan,30699,76497,165,213,2400,1
269,vw,fastback,9599,154785,115,183,1800,6
270,bmw,roadster,47599,2778,140,183,1900,3
271,bmw,sedan,30499,63955,142,203,2500,6
272,mercedes-benz,sedan,23799,104582,136,183,2000,1
273,mercedes-benz,station_wagon,30399,59513,136,183,2000,1
274,vw,sedan,33399,27554,110,183,1900,1
275,bmw,sedan,57399,42808,235,183,3500,3
276,vw,fastback,19599,46103,90,183,1800,8
277,audi,sedan,38899,17093,110,173,1900,3
278,vw,station_wagon,27099,55331,150,183,1900,2
279,bmw,sedan,71999,33211,285,252,4000,0
280,mercedes-benz,station_wagon,22699,106275,150,203,2500,7
281,bmw,convertible,51699,13744,193,213,2800,5
282,vw,station_wagon,16999,86523,115,183,1800,1
283,bmw,coupe,27699,44271,102,183,1600,1
284,mercedes-benz,station_wagon,41299,31210,95,187,2200,6
285,mercedes-benz,sedan,32199,89865,204,213,2800,2
286,bmw,sedan,28599,40306,102,183,1600,4
287,vw,fastback,20099,43911,100,183,1800,5
288,bmw,roadster,30599,130757,320,241,3200,8
289,mercedes-benz,sedan,29599,119335,224,241,3200,7
290,vw,convertible,14699,81226,90,183,1800,1
291,vw,fastback,26399,24606,115,183,1800,9
292,vw,station_wagon,24299,27628,90,183,1800,7
293,mercedes-benz,station_wagon,28899,81587,136,183,2000,5
294,audi,station_wagon,47299,10606,193,213,2800,8
295,mercedes-benz,sedan,29999,48018,122,183,1800,4
296,bmw,sedan,33999,46225,115,203,2500,4
297,vw,convertible,24099,22010,100,183,1800,5
298,vw,convertible,17599,75103,110,183,1800,3
299,bmw,coupe,11799,173374,150,241,3200,9
300,mercedes-benz,station_wagon,51499,7817,95,187,2200,1
301,vw,convertible,9299,151709,110,183,1800,6
302,bmw,coupe,11399,177642,150,241,3200,6
303,vw,station_wagon,23599,15964,64,183,1800,0
304,vw,station_wagon,18399,54444,100,183,1800,5
305,vw,fastback,37899,15261,174,183,1800,7
306,vw,fastback,42399,6064,190,183,1800,0
307,audi,station_wagon,42599,32812,193,213,2800,7
308,mercedes-benz,station_wagon,25099,75092,95,187,2200,3
309,mercedes-benz,station_wagon,9399,200089,136,183,2000,6
310,vw,station_wagon,18099,38704,60,183,1800,9
311,vw,station_wagon,18799,51786,90,183,1800,4
312,mercedes-benz,roadster,25399,92871,136,183,2000,8
313,mercedes-benz,station_wagon,79899,26924,278,252,4300,3
314,mercedes-benz,sedan,19499,112783,136,183,2000,6
315,audi,station_wagon,27099,68480,150,183,1800,5
316,mercedes-benz,sedan,39199,40528,170,213,2400,1
317,bmw,station_wagon,14399,123005,102,183,1600,1
318,vw,station_wagon,14599,129624,150,183,1900,5
319,bmw,sedan,45899,28204,193,213,2800,1
320,vw,convertible,23099,34679,90,183,1800,8
321,mercedes-benz,sedan,42699,24974,197,213,2800,0
322,bmw,fastback,23099,80039,115,183,1800,5
323,vw,station_wagon,4899,204088,64,183,1800,5
324,mercedes-benz,sedan,17099,140308,170,213,2400,2
325,bmw,convertible,43299,17334,150,241,3200,4
326,vw,station_wagon,21699,82024,150,183,1900,0
327,bmw,roadster,18399,143797,191,213,2800,3
328,bmw,sedan,32099,53225,150,241,3200,8
329,mercedes-benz,sedan,50199,21429,197,213,2800,6
330,bmw,roadster,25399,81371,140,183,1900,8
331,vw,fastback,44999,3785,190,183,1800,5
332,mercedes-benz,sedan,13099,172056,150,203,2500,1
333,vw,sedan,30299,15939,150,183,1900,4
334,mercedes-benz,station_wagon,35599,52313,95,187,2200,2
335,vw,convertible,10199,125357,100,183,1800,2
336,audi,station_wagon,31399,69380,193,213,2800,7
337,vw,station_wagon,15699,131503,190,183,1800,7
338,bmw,sedan,17199,143750,150,183,2000,2
339,bmw,sedan,56299,3606,193,213,2800,3
340,bmw,sedan,39699,98276,320,241,3500,5
341,bmw,station_wagon,57599,6895,170,197,2300,4
342,mercedes-benz,station_wagon,41499,14897,95,187,2200,5
343,vw,fastback,22999,85892,190,183,1800,3
344,mercedes-benz,sedan,57099,30547,224,241,3200,5
345,vw,station_wagon,22799,51339,115,183,1800,6
346,vw,fastback,16199,70014,100,183,1800,3
347,bmw,station_wagon,30799,82181,170,197,2300,5
348,mercedes-benz,sedan,38499,20454,95,187,2200,8
349,mercedes-benz,sedan,35699,48945,95,187,2200,6
350,mercedes-benz,station_wagon,23899,88569,136,183,2000,5
351,bmw,sedan,30399,77349,193,213,2800,6
352,audi,sedan,28799,61417,150,183,1800,5
353,audi,sedan,35199,26881,90,173,1900,5
354,bmw,station_wagon,84299,7134,285,252,4000,5
355,audi,station_wagon,10399,172736,125,183,1800,4
356,bmw,station_wagon,41099,93995,320,241,3500,8
357,mercedes-benz,station_wagon,22099,113458,136,183,2000,4
358,mercedes-benz,station_wagon,63799,7608,204,213,2800,3
359,vw,station_wagon,24999,53556,125,183,1900,1
360,vw,convertible,20199,29447,100,183,1800,5
361,bmw,coupe,17999,122794,150,241,3200,5
362,audi,sedan,22199,92583,150,183,1800,7
363,bmw,station_wagon,45999,6413,142,203,2500,4
364,audi,sedan,26499,94148,165,213,2400,4
365,audi,sedan,15299,115117,101,183,1600,4
366,vw,fastback,24099,10242,64,183,1800,4
367,vw,station_wagon,30899,7801,110,183,1800,2
368,bmw,coupe,31799,61419,170,197,2300,4
369,bmw,sedan,53599,7358,150,183,2000,8
370,bmw,station_wagon,32899,50313,115,203,2500,9
371,vw,station_wagon,12899,155268,190,183,1800,8
372,bmw,sedan,27799,70455,150,241,3200,4
373,bmw,coupe,38499,38372,170,197,2300,1
374,bmw,coupe,28599,66828,150,241,3200,2
375,bmw,sedan,25199,98181,150,183,2000,4
376,vw,station_wagon,12199,161702,190,183,1800,3
377,bmw,sedan,37499,34459,150,241,3200,2
378,audi,sedan,51599,6374,193,213,2800,3
379,bmw,roadster,44599,85680,320,241,3200,7
380,vw,station_wagon,17199,62681,90,183,1800,5
381,vw,fastback,7599,142852,60,183,1800,0
382,vw,station_wagon,30099,10871,110,183,1800,4
383,mercedes-benz,sedan,26899,66849,95,187,2200,5
384,mercedes-benz,sedan,21699,183582,278,252,4300,5
385,vw,convertible,29699,19616,115,183,1800,6
386,mercedes-benz,sedan,21399,89153,122,183,1800,8
387,bmw,sedan,41499,39054,170,197,2300,8
388,mercedes-benz,station_wagon,12599,181189,192,197,2300,1
389,bmw,station_wagon,46899,17861,193,213,2800,3
390,vw,station_wagon,18599,61536,90,183,1800,0
391,mercedes-benz,sedan,22199,153682,224,241,3200,7
392,mercedes-benz,sedan,60499,60240,278,252,4300,4
393,audi,sedan,38999,31110,193,213,2800,7
394,bmw,coupe,36399,56065,193,213,2800,8
395,bmw,coupe,31799,41832,115,183,1800,1
396,vw,station_wagon,11699,109179,100,183,1800,3
397,vw,convertible,13999,94993,90,183,1800,7
398,vw,convertible,19899,67472,115,183,1800,4
399,mercedes-benz,station_wagon,37499,91030,224,241,3200,8
400,audi,sedan,30699,43178,90,173,1900,8
401,bmw,station_wagon,48299,25811,142,203,2500,0
402,audi,sedan,14199,160077,110,173,1900,8
403,mercedes-benz,sedan,8299,208100,95,187,2200,7
404,bmw,station_wagon,22799,131037,193,213,2800,0
405,audi,station_wagon,34299,29870,125,183,1800,3
406,audi,sedan,12499,151452,90,173,1900,8
407,bmw,sedan,48999,26259,170,197,2300,8
408,bmw,station_wagon,25999,51888,102,183,1600,3
409,audi,station_wagon,30399,32867,101,183,1600,7
410,bmw,sedan,42699,25996,170,197,2300,6
411,bmw,station_wagon,74299,23053,320,241,3500,0
412,mercedes-benz,sedan,8799,195623,122,183,1800,6
413,bmw,coupe,66299,30574,320,241,3500,7
414,audi,sedan,28099,80559,150,183,1800,2
415,vw,station_wagon,7299,147042,60,183,1800,6
416,vw,station_wagon,18499,54076,100,183,1800,1
417,bmw,fastback,20699,79144,102,183,1600,2
418,bmw,sedan,23399,64344,102,183,1600,5
419,bmw,station_wagon,49399,60825,235,183,3500,5
420,bmw,roadster,72899,16492,320,241,3200,5
421,vw,sedan,20899,83868,110,183,1900,0
422,mercedes-benz,sedan,45899,18726,192,197,2300,4
423,mercedes-benz,sedan,36299,44055,95,187,2200,9
424,vw,fastback,22499,88543,190,183,1800,0
425,vw,fastback,10599,143694,115,183,1800,2
426,audi,station_wagon,22699,79473,90,173,1900,4
427,bmw,station_wagon,22999,115273,142,203,2500,4
428,vw,station_wagon,9299,136708,90,183,1800,3
429,vw,sedan,24699,45323,100,183,1900,3
430,bmw,sedan,30799,57997,115,203,2500,4
431,mercedes-benz,station_wagon,68499,45423,278,252,4300,9
432,bmw,sedan,44199,85298,320,241,3500,0
433,mercedes-benz,roadster,18399,131679,136,183,2000,8
434,mercedes-benz,station_wagon,52299,10270,192,197,2300,7
435,vw,fastback,10699,101704,60,183,1800,6
436,mercedes-benz,station_wagon,60199,20267,224,241,3200,3
437,bmw,sedan,44099,36929,142,203,2500,8
438,audi,sedan,47899,18682,193,213,2800,1
439,audi,sedan,49899,29897,193,213,2800,8
440,mercedes-benz,station_wagon,47999,88168,278,252,4300,1
441,vw,fastback,21699,14364,75,183,1800,8
442,bmw,station_wagon,36699,36982,115,203,2500,4
443,vw,fastback,30199,53099,190,183,1800,1
444,bmw,sedan,15199,143126,150,241,3200,4
445,vw,fastback,28699,59248,190,183,1800,2
446,bmw,sedan,10899,182876,115,203,2500,2
447,bmw,station_wagon,57199,54340,320,241,3500,7
448,vw,convertible,7699,167535,90,183,1800,5
449,bmw,sedan,36999,43140,170,197,2300,4
450,vw,station_wagon,32299,9494,115,183,1800,5
451,bmw,sedan,25799,86292,170,197,2300,5
452,vw,convertible,12399,124206,115,183,1800,3
453,audi,sedan,26899,105674,193,213,2800,4
454,bmw,roadster,41199,95168,320,241,3200,8
455,bmw,sedan,47199,66219,235,183,3500,3
456,vw,fastback,21199,19660,60,183,1800,6
457,mercedes-benz,sedan,50099,11515,192,197,2300,2
458,bmw,convertible,16299,134275,150,241,3200,6
459,bmw,convertible,18899,116468,150,241,3200,2
460,audi,sedan,52599,5285,150,183,1800,4
461,vw,fastback,11199,137010,115,183,1800,4
462,audi,station_wagon,10399,161199,101,183,1600,0
463,vw,fastback,7699,154346,64,183,1800,8
464,mercedes-benz,station_wagon,20199,145447,176,224,3000,1
465,vw,sedan,16699,91911,100,183,1900,8
466,bmw,convertible,42699,6191,115,183,1800,2
467,mercedes-benz,station_wagon,38299,24483,95,187,2200,2
468,audi,station_wagon,21199,87847,125,183,1800,8
469,mercedes-benz,sedan,20299,95708,122,183,1800,5
470,vw,convertible,26999,7107,90,183,1800,8
471,vw,convertible,20099,21261,90,183,1800,8
472,bmw,sedan,23199,107844,150,183,2000,5
473,vw,station_wagon,7199,149585,60,183,1800,4
474,audi,sedan,51899,6892,150,183,1800,7
475,bmw,sedan,49199,61302,235,183,3500,6
476,vw,sedan,29799,66889,193,183,1900,5
477,bmw,station_wagon,68499,23475,285,252,4000,8
478,audi,station_wagon,34299,40485,150,183,1800,7
479,bmw,sedan,34699,48398,142,203,2500,3
480,bmw,sedan,40099,97161,320,241,3500,8
481,vw,station_wagon,15799,73099,100,183,1800,6
482,vw,fastback,23199,22687,75,183,1800,5
483,vw,fastback,15399,72000,64,183,1800,5
484,mercedes-benz,station_wagon,19199,136768,197,213,2800,7
485,vw,sedan,18399,124436,193,183,1900,1
486,vw,convertible,13699,105704,110,183,1800,1
487,mercedes-benz,station_wagon,27899,93775,130,224,2900,0
488,vw,station_wagon,14199,101413,110,183,1800,3
489,vw,fastback,15499,122661,174,183,1800,7
490,audi,sedan,35999,34608,150,183,1800,4
491,vw,station_wagon,31699,47158,190,183,1800,2
492,bmw,sedan,24699,84687,115,203,2500,3
493,bmw,fastback,47499,7964,170,197,2300,5
494,bmw,sedan,43499,20146,170,197,2300,9
495,bmw,station_wagon,37799,50309,170,197,2300,2
496,bmw,roadster,19599,112281,140,183,1900,1
497,bmw,convertible,44399,14135,150,241,3200,1
498,audi,sedan,29799,57191,150,183,1800,6
499,bmw,roadster,72199,27852,320,241,3200,7
500,bmw,sedan,47699,5195,170,197,2300,5
501,bmw,station_wagon,24099,94789,170,197,2300,5
502,mercedes-benz,sedan,72899,15920,278,252,4300,3
503,vw,sedan,28899,44921,110,183,1900,8
504,vw,station_wagon,13599,91079,90,183,1800,5
505,vw,fastback,23299,8381,60,183,1800,5
506,mercedes-benz,sedan,51599,52629,224,241,3200,2
507,bmw,sedan,28199,145955,285,252,4000,7
508,vw,sedan,15699,109057,125,183,1900,6
509,vw,station_wagon,23799,19436,64,183,1800,7
510,bmw,station_wagon,45299,11878,150,241,3200,6
511,mercedes-benz,sedan,43099,22859,130,224,2900,3
512,audi,sedan,36199,15807,125,183,1800,7
513,vw,convertible,26299,5462,75,183,1800,7
514,audi,sedan,50399,16939,165,213,2400,6
515,audi,sedan,24999,78289,150,183,1800,8
516,bmw,station_wagon,37099,112816,285,252,4000,7
517,bmw,sedan,41399,10056,115,183,1800,8
518,bmw,sedan,14099,151534,115,203,2500,6
519,mercedes-benz,station_wagon,33999,83102,204,213,2800,7
520,bmw,sedan,57299,7456,170,197,2300,7
521,vw,sedan,14699,126116,110,183,1900,1
522,audi,station_wagon,41999,5362,125,183,1800,1
523,vw,station_wagon,13799,80232,64,183,1800,6
524,vw,fastback,14799,80645,90,183,1800,9
525,vw,sedan,16799,104376,90,183,1900,8
526,bmw,sedan,69799,19406,235,183,3500,2
527,mercedes-benz,sedan,37399,46141,150,203,2500,1
528,vw,sedan,28299,23213,90,183,1900,7
529,mercedes-benz,station_wagon,10199,206612,136,183,2000,4
530,vw,sedan,33199,13701,90,183,1900,3
531,bmw,sedan,54199,4452,150,183,2000,9
532,mercedes-benz,station_wagon,22499,95703,136,183,2000,4
533,vw,fastback,28699,9436,90,183,1800,1
534,vw,station_wagon,28499,24731,115,183,1800,4
